title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,position,page
"RDX Kids Boxing Gloves for Training, Muay Thai, Maya hide leather Junior 6oz Mitts for Kickboxing, Sparring, Fighting, Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",Visit the RDX Store,4.7 out of 5 stars,161 ratings,£19.99,False,0,"
14 Nov. 2019
",False,3,2
Farabi Boxing Gloves Sparring Punching Bag Training Bag Mitt Gel,Brand: Farabi Sports,4.7 out of 5 stars,426 ratings,£19.99,False,"
8 answered questions
","
6 Sept. 2013
",False,4,2
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Mitts for Sparring, Kickboxing, Fighting Great for Heavy Punch Bag, Double End Speed Ball Focus Pads Punching",Visit the RDX Store,3.9 out of 5 stars,9 ratings,£43.99 - £46.99,True,0,"
25 Nov. 2019
",False,5,2
adidas Children's Speed 50 Boxing Gloves,Visit the adidas Store,4.7 out of 5 stars,979 ratings,£22.25 - £54.60,True,"
28 answered questions
","
1 Sept. 2018
",False,6,2
Venum Men's Impact Boxing Gloves,Visit the Venum Store,4.5 out of 5 stars,"1,041 ratings",£55.57 - £78.65,True,"
6 answered questions
","
10 April 2017
",False,7,2
Starpro C20 Single Shell Boxing Gloves| PU Leather| Black &amp; White | For Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise |Men &amp; Women |8oz 10oz 12oz 14oz 16oz,Visit the Starpro Store,4.8 out of 5 stars,126 ratings,£16.99 - £19.99,False,0,"
4 Mar. 2019
",False,8,2
"Junior kids 6-oz Boxing Gloves Sparring, training bag mitt gloves",Brand: Farabi Sports,4.6 out of 5 stars,421 ratings,£12.99,False,"
11 answered questions
","
15 May 2012
",False,9,2
"RDX Kids Boxing Gloves for Training &amp; Muay Thai Maya Hide Leather Junior 4oz, 6oz Mitts for Sparring, Focus Pads, Fighting &amp; Kickboxing Good for Youth Punch Bag, Punching and Grappling Dummy",Visit the RDX Store,4.8 out of 5 stars,787 ratings,£13.99 - £16.99,False,"
11 answered questions
","
12 July 2016
",False,10,2
ISLERO Kids Boxing Gloves MMA GEL Punch Bag Muay Thai Martial art Training 4oz 6Oz 8Oz,Brand: Islero Fitness,4.7 out of 5 stars,245 ratings,£15.99,False,0,"
18 Jun. 2017
",False,11,2
Dtown Boxing Gloves for Kids 4oz 6 oz Training Sparring Punch Bag Mitt for Child Age 3 to 12 Years,Brand: Dtown,4.7 out of 5 stars,250 ratings,£18.98 - £20.98,False,0,"
26 Jan. 2019
",False,12,2
"Farabi Kids Boxing Gloves, Junior Boxing Training Gloves",Visit the Farabi Sports Store,4.8 out of 5 stars,246 ratings,£14.99,False,"
8 answered questions
","
1 Dec. 2020
",False,13,2
Evo Ladies Pink Elasticated Gel Gloves Boxing Wrist Hand Wraps Support Straps MMA Bag Inner Glove (Small/Medium),Brand: EVO Fitness,4.3 out of 5 stars,395 ratings,£5.99,False,"
3 answered questions
","
17 Oct. 2015
",False,14,2
XGEEK 2PCS PU Leather Punching Kicking Palm Pad Target Mitt Glove for Focus Training of Karate MuayThai Kick Boxing UFC MMA,Visit the XGEEK Store,4.5 out of 5 stars,767 ratings,£15.59,False,"
3 answered questions
","
13 Oct. 2015
",False,16,2
"Farabi Junior kids 6-oz Boxing Gloves Sparring , training bag mitt gloves Kids Boxing Gloves Junior Boxing Gloves Punching Mitt Kids Training Boxing Gloves for the kids age ranging between 3 to 12 Year.",Brand: Farabi Sports,4.6 out of 5 stars,78 ratings,£12.99,False,0,"
16 Feb. 2016
",False,17,2
EVO Fitness Elasticated GEL Inner Gloves Boxing Bag Hand Wraps MMA Grappling UFC,Brand: EVO Fitness,4.1 out of 5 stars,46 ratings,£4.99 - £7.99,False,0,"
26 Oct. 2016
",False,18,2
ONEX Boxing Gloves for Kids 6oz Training Punching Sparring Bag Fight Gloves Punch Bag Mitts Muay Thai Kickboxing MMA Martial Arts Workout Juniors Girls and Boys,Brand: ONEX,4.6 out of 5 stars,331 ratings,£13.99,False,0,"
3 May 2019
",False,19,2
"A1 Fight Gear Boxing Gloves - 10oz, 12oz, 14oz, 16oz Top Grain Cowhide Leather Training Gloves, Hand Made, Fully Attached Thumb - Muay Thai, Kickboxing, Sparring, Boxercise, Punchbag",Visit the A1 Fight Gear Store,4.9 out of 5 stars,33 ratings,£39.97,True,0,"
5 Dec. 2020
",False,20,2
"Lions Classic Adult Unisex Boxing Gloves For MMA, Sparring, Punch Bag Training",Visit the Lions Store,4.6 out of 5 stars,32 ratings,£14.95,True,0,"
30 Oct. 2019
",False,21,2
adidas Men's Hybrid 50 Boxing,Visit the adidas Store,4.7 out of 5 stars,179 ratings,£30.29 - £49.07,True,0,"
16 Aug. 2019
",False,22,2
Farabi Boxing Gloves Training Sparring Punching Bag Focus Pads Training Gloves Pair 8-oz 10-oz 12-oz 14-oz 16oz,Brand: Farabi Sports,4.7 out of 5 stars,280 ratings,£19.99,False,"
7 answered questions
","
29 Mar. 2015
",False,23,2
EVO Fitness Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC Adults Gloves With Hand Wraps,Brand: EVO Fitness,4.0 out of 5 stars,1 rating,£16.99,False,0,"
28 Dec. 2020
",False,24,2
XN8 Boxing Gloves for Training Punch bag-Lamina Hide Leather Mitts For Fighting-Kickboxing-Sparring-Muay Thai-Great for Double End Speed Ball &amp; Focus Pads Punching,Visit the Xn8 Sports Store,4.4 out of 5 stars,29 ratings,£15.99 - £17.99,False,0,"
9 Aug. 2015
",False,25,2
"GoMax Leather Boxing Gloves 6,8,10,12,14,16 oz Boxing Gloves for Training Punching Sparring Punching Boxing Bag Gloves Mitts Muay Thai Kickboxing MMA Martial Arts Workout Gloves",Brand: GO MAX,4.8 out of 5 stars,105 ratings,£15.99,False,"
3 answered questions
","
23 Nov. 2019
",False,26,2
EVO Fitness Ladies Pink GEL Rex Leather Boxing Gloves Punch Bag MMA Muay Thai Martial Arts Kick Boxing Sparring Women Training 3.5 meter Long Boxing Hand Wraps Included Free !!!,Brand: EVO Fitness,4.5 out of 5 stars,133 ratings,£18.99,True,"
4 answered questions
","
25 May 2016
",False,27,2
"RDX Boxing Gloves for Training Muay Thai Cowhide Leather Mitts for Sparring, Kickboxing Fighting Great for Heavy Punch Bag, Focus Pads, Grappling Dummy and Speed Ball Punching",Visit the RDX Store,4.2 out of 5 stars,24 ratings,£45.99 - £48.99,True,0,"
7 Jun. 2018
",False,28,2
Ringside Boxing Pro Fitness Glove Synthetic Leather Glove Metallic White/Black/Gold,Brand: Ringside Boxing,4.8 out of 5 stars,9 ratings,£55.00,True,0,"
26 May 2016
",False,29,2
"RDX Kids Boxing Gloves for Training and Muay Thai, Maya Hide Leather Junior Mitts for Kickboxing, Sparring and Fighting, Good for Youth Punch Bag, Grappling Dummy and Focus Pads Punching",Visit the RDX Store,4.8 out of 5 stars,46 ratings,£20.99,True,0,"
4 May 2017
",False,30,2
Farabi Boxing Gloves Kids Junior Muay Thai Kick Boxing Training MMA Punching Bag,Brand: Farabi Sports,4.7 out of 5 stars,397 ratings,£12.99 - £17.99,False,"
5 answered questions
","
22 Jun. 2018
",False,31,2
Islero Fitness EVO Kids Boxing Gloves Junior MMA Bag Mitts GEL Punching Bag Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC 4OZ 6OZ 8OZ,Brand: Islero Fitness,4.3 out of 5 stars,36 ratings,£13.99 - £14.99,False,0,"
18 Jun. 2017
",False,32,2
"RDX Women Boxing Gloves for Training Muay Thai Flora Skin Ladies Mitts for Fighting, Kickboxing, Sparring Good for Punch Bag, Focus Pads and Double End Ball Punching",Visit the RDX Store,4.4 out of 5 stars,13 ratings,£32.99,True,0,"
10 Aug. 2018
",False,33,2
"Farabi Star Kids Boxing gloves best for kickboxing, Martial Arts, MMA, Muay Thai, Fitness and Gym training 6-oz",Brand: Farabi Sports,4.6 out of 5 stars,151 ratings,£12.99,False,0,"
29 Oct. 2013
",False,34,2
"Kids Boxing gloves, MMA, Muay thai junior punch bag mitts Pink 4 Oz by Farabi",Brand: Farabi Sports,4.7 out of 5 stars,198 ratings,£12.99,False,"
3 answered questions
","
<style type=""text/css"">
/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
}
</style>



















<div id=""averageCustomerReviews"" data-asin=""B00OW314FG"" data-ref=""dpx_acr_pop_"">












<span class=""a-declarative"" data-action=""acrStarsLink-click-metrics"" data-acrstarslink-click-metrics=""{}"">



<span id=""acrPopover"" class=""reviewCountTextLinkedHistogram noUnderline"" title=""4.7 out of 5 stars"">
<span class=""a-declarative"" data-action=""a-popover"" data-a-popover=""{&quot;max-width&quot;:&quot;700&quot;,&quot;closeButton&quot;:&quot;false&quot;,&quot;position&quot;:&quot;triggerBottom&quot;,&quot;url&quot;:&quot;/gp/customer-reviews/widgets/average-customer-review/popover/ref=dpx_acr_pop_?contextId=dpx&amp;asin=B00OW314FG&quot;}"">
<a href=""javascript:void(0)"" class=""a-popover-trigger a-declarative"">

<i class=""a-icon a-icon-star a-star-4-5""><span class=""a-icon-alt"">4.7 out of 5 stars</span></i>

<i class=""a-icon a-icon-popover""></i></a>
</span>
<span class=""a-letter-space""></span>
</span>



</span>
<span class=""a-letter-space""></span>












<span class=""a-declarative"" data-action=""acrLink-click-metrics"" data-acrlink-click-metrics=""{}"">
<a id=""acrCustomerReviewLink"" class=""a-link-normal"" href=""#customerReviews"">
<span id=""acrCustomerReviewText"" class=""a-size-base"">198 ratings</span>
</a>
</span>
<script type=""text/javascript"">
P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
});
</script>





<script type=""text/javascript"">
P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
});
</script>







</div>


<br>
4.7 out of 5 stars
",False,35,2
longeek Kids Boxing Gloves 4oz Junior Cartoon Training Sparring Punch Bag Mitt for Child Age 3 to 12Years Red,Brand: longeek,5.0 out of 5 stars,1 rating,£16.99,False,0,"
10 Dec. 2020
",False,36,2
Farabi Sports Boxing Gloves Punching Bag Training Focus Pads Gloves,Brand: Farabi Sports,4.7 out of 5 stars,574 ratings,£19.99,False,"
22 answered questions
","
7 Aug. 2016
",False,37,2
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | White Paw™,Visit the Valour Strike Store,4.7 out of 5 stars,69 ratings,£28.95 - £29.95,True,0,"
17 Aug. 2019
",False,38,2
Half-finger MMA Boxing Fight Gloves With Velcro Wrist Band Thick Padding for Punching Heavy Bag Kickboxing Class Muay Thai Martial Arts Trainer Mitts,Brand: Majeck,4.1 out of 5 stars,120 ratings,£13.99,False,0,"
4 Dec. 2017
",False,39,2
Starpro Junior Performer Single Shell Boxing Gloves |Synthetic Leather| Black | For Youth Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise| Kids 4oz 6oz 8oz,Visit the Starpro Store,4.6 out of 5 stars,93 ratings,£11.99 - £15.99,False,0,"
4 May 2020
",False,40,2
EMRAH Pro Boxing Hand Wraps | Boxing Pro Grip Inner Gloves | Boxing Gel Wraps-X,Visit the EMRAH Store,4.3 out of 5 stars,"1,466 ratings",£6.99 - £9.81,False,"
17 answered questions
","
28 Jan. 2016
",False,41,2
Lonsdale Contender Gloves Boxing Kick MMA Hand Wraps Mitts Fight Training,Brand: Lonsdale,4.3 out of 5 stars,49 ratings,£9.99 - £15.99,False,"
4 answered questions
","
29 Oct. 2015
",False,42,2
"Lions Boxing Gloves 6oz, Ideal For Kids Ages 6-11 Years Old, Pair of Sparring Mitts",Visit the Lions Store,4.0 out of 5 stars,16 ratings,£14.95,True,0,"
30 Oct. 2019
",False,43,2
Farabi Kids Boxing Gloves Junior Warrior Series Training Gloves,Brand: Farabi Sports,4.2 out of 5 stars,67 ratings,£12.99 - £16.99,False,0,"
22 Jun. 2018
",False,44,2
"No Stink Unisex's Sports Glove Deodouriser Yellow, One Size",Brand: No Stink,4.5 out of 5 stars,"1,330 ratings",£6.99,False,"
16 answered questions
","
B00U78MK4Y
",False,45,2
MAXSTRENGTH Boxing Mitts Punching Training Bag Gloves Sparring Martial Arts Muay Thai,Brand: MAXSTRENGTH,4.1 out of 5 stars,69 ratings,£12.85,True,0,"
25 Nov. 2019
",False,46,2
VELO Boxing Matt Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Gloves for Punch Bag | Focus Pad | Arm kick Pad (Black Edition With Free Face Mask),Visit the VELO Store,4.6 out of 5 stars,35 ratings,£19.99,False,0,"
11 Jun. 2020
",False,47,2
EMRAH V-2.1 Boxing Gloves Matte Hide Boxing Training,Visit the EMRAH Store,4.6 out of 5 stars,447 ratings,£23.91,True,"
3 answered questions
","
3 July 2017
",True,0,3
"RDX Boxing Gloves Sparring and Muay Thai Maya Hide Leather, KARA Patent Pending Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves",Visit the RDX Store,4.9 out of 5 stars,85 ratings,£25.99,True,0,"
6 Nov. 2020
",True,1,3
"Boxing Inner GEL Gloves for Punching Neoprene Padded Fist Protector Bandages under Mitts Quick Long 1 meter Wrist Support, Great for MMA, Muay Thai, Kickboxing, Martial Arts Training for Men &amp; Women",Brand: Vector sports &amp; Fitness,4.0 out of 5 stars,4 ratings,£8.99,False,0,"
30 Sept. 2020
",True,2,3
Farabi Kids Boxing Gloves Junior Warrior Series Training Gloves,Brand: Farabi Sports,4.2 out of 5 stars,67 ratings,£12.99 - £16.99,False,0,"
22 Jun. 2018
",False,4,3
Lions Womens Boxing Gloves - Martial Arts Sparring Punch Bag Training Mitts,Visit the Lions Store,4.5 out of 5 stars,70 ratings,£14.95,True,0,"
15 April 2019
",False,5,3
"No Stink Unisex's Sports Glove Deodouriser Yellow, One Size",Brand: No Stink,4.5 out of 5 stars,"1,330 ratings",£6.99,False,"
16 answered questions
","
B00U78MK4Y
",False,6,3
Evo Training Boxing Bag Inner GEL Gloves MMA Grappling Hand wraps Martial Arts Fist Protector Bandages Mitts,Brand: EVO Fitness,4.1 out of 5 stars,30 ratings,£3.99,False,0,"
25 Feb. 2016
",False,7,3
MAXSTRENGTH Boxing Mitts Punching Training Bag Gloves Sparring Martial Arts Muay Thai,Brand: MAXSTRENGTH,4.1 out of 5 stars,69 ratings,£12.85,True,0,"
25 Nov. 2019
",False,8,3
VELO Boxing Matt Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Gloves for Punch Bag | Focus Pad | Arm kick Pad (Black Edition With Free Face Mask),Visit the VELO Store,4.6 out of 5 stars,35 ratings,£19.99,False,0,"
11 Jun. 2020
",False,9,3
"Max Strength Focus Pad Bag Gloves Set | Synthetic Leather Curved Hook &amp; Jab Pads Hand Mitts | Great for Kickboxing, MMA, Martial Arts, Muay Thai, Karate Training | Boxing Punching, Coaching Strike Shield",Visit the MAXSTRENGTH Store,4.4 out of 5 stars,145 ratings,£24.85,True,"
10 answered questions
","
23 Dec. 2019
",False,10,3
"FITPACT Kids Boxing Gloves | Great For Sparring, Punching, Muay Thai, Kickboxing MMA Training | Junior Punch Bag Mitts Available in 4oz, 6oz",Visit the FITPACT Store,4.5 out of 5 stars,20 ratings,£12.49 - £15.99,False,0,"
17 May 2019
",False,11,3
EVO Fitness Pro Boxing Gloves MMA Punch Bags Sparring Muay Thai Kick Boxing Fighting Training Gloves For Men Women with Boxing Hand Wraps,Brand: EVO Fitness,4.6 out of 5 stars,101 ratings,£16.99 - £17.99,False,0,"
6 Feb. 2014
",False,12,3
"RDX MMA Gloves for Martial Arts Training and Grappling, Approved by SMMAF, Open Palm Maya Hide Leather with Long Wrist Strap, Sparring Mitts for Kickboxing Muay Thai Cage Fighting Punching and Combat",Visit the RDX Store,4.6 out of 5 stars,"1,087 ratings",£23.99 - £27.99,True,"
26 answered questions
","
5 May 2016
",False,13,3
ONEX Junior/Kids Boxing Gloves Sparring Pro 2oz-4oz Punch Bag Fight MMA Muay Thai Grappling Fight Mitts Martial Arts Training Kickboxing Punching Glove,Brand: ONEX,4.3 out of 5 stars,321 ratings,£8.99 - £9.99,False,"
5 answered questions
","
7 Aug. 2018
",False,14,3
Venum Challenger 2.0 Boxing Gloves,Visit the Venum Store,4.4 out of 5 stars,"2,859 ratings",£39.77 - £42.99,True,"
7 answered questions
","
19 Jan. 2016
",False,15,3
"REX Stealth Boxing gloves for fighters, Training gloves, Heavy duty punching gloves | Matte Black Boxing Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching",Brand: REX,4.9 out of 5 stars,12 ratings,£17.99,False,0,"
8 Sept. 2020
",True,16,3
"Lions Boxing Gloves MMA Punch Bag Training Mitts 6oz, 8oz, 10oz, 14oz, 16oz, Black, Pink, Red",Visit the Lions Store,4.5 out of 5 stars,"1,303 ratings",£14.95,True,"
33 answered questions
","
16 Feb. 2016
",True,17,3
XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Visit the Xn8 Sports Store,4.6 out of 5 stars,296 ratings,£23.99,True,"
5 answered questions
","
9 Aug. 2015
",True,18,3
OhhGo Boxing Gloves 1Pair Training Boxing Fighting Muay Thai Sparring Punching Kickboxing Grappling Sandbag Gloves for Men Women,Brand: OhhGo,4.2 out of 5 stars,90 ratings,£7.99,False,0,"
29 Sept. 2019
",False,19,3
MMA Gloves for Martial Arts Training and Grappling Krav Maga Open Palm Liani Hide Leather Wrist Strap Sparring Mitts for Kickboxing Muay Thai Cage UFC Fighting Punching Combat (MULTI COLORS/SIZES),Visit the 3X Professional Choice Store,4.5 out of 5 stars,51 ratings,£20.99,True,0,"
15 Dec. 2018
",False,20,3
XN8 Boxing Gloves for Training Punch bag-Lamina Hide Leather Mitts For Fighting- Sparring- Muay Thai- Kickboxing-Great for Double End Speed Ball and Focus Pads Punching,Visit the Xn8 Sports Store,4.6 out of 5 stars,192 ratings,£18.99,True,0,"
9 Aug. 2015
",False,21,3
Lions Boxing Set Focus Pads Gloves Mitts Punch Bag MMA Training Hook &amp; Jab,Visit the Lions Store,4.7 out of 5 stars,102 ratings,£22.95 - £24.95,True,"
3 answered questions
","
18 Mar. 2015
",False,22,3
Farabi 4-Oz Kids Boxing Sparring Punching Bag Training Gloves Junior Pink,Brand: Farabi Sports,4.6 out of 5 stars,353 ratings,£12.99,False,0,"
17 Oct. 2012
",False,23,3
"Kids Boxing gloves, MMA, Muay thai junior punch bag mitts Black 6Oz by Farabi",Brand: Farabi Sports,4.6 out of 5 stars,204 ratings,£12.99,False,0,,False,24,3
Lions Max Star Boxing Gloves - Sparring Punch Bag Training Mitts | Martial Arts | Muay Thai | Kickboxing | Mma | Punching | Fight | Boxercise | Rex Leather | 10oz | 12oz,Visit the Lions Store,4.6 out of 5 stars,31 ratings,£14.95,True,0,"
24 Jun. 2019
",False,25,3
